Hotel,Booking_status,Lead Time,Arrival_Year,Arrival_Month,Weekend_Nights,Week_Nights,Adults,Children,Babies,Meal_Plan,Guest_Country,Market_Segment,City Hotel,City Hotel,Previous_Cancellations,Prior_Successful Stays,Reserved_Room_Type,Assigned_Room_Type,Booking_Changes,Deposit_Policy,Agent_ID,Days_on_Waitlist,Customer_Type,Average_Daily_Rate (USD),Special_Requests_Count,Reservation_Status,Status_Date,Total_Guests,Total_Nights,Total_Revenue (USD),Total_Revenue (INR)
City Hotel,YES,294,2017,January,2,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,77,0,Canceled,2016-08-10,2,4,309,28063
City Hotel,YES,227,2017,March,2,5,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,75,1,Canceled,2016-10-24,2,7,524,47491
City Hotel,NO,6,2015,November,1,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,0,Transient,80,0,Check-Out,2015-11-12,2,3,240,21768
City Hotel,YES,22,2016,May,0,2,2,2,0,BB,ITA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,0,Transient,221,1,No-Show,2016-05-13,4,2,442,40089
City Hotel,NO,13,2017,June,2,1,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14,0,Transient,120,1,Check-Out,2017-06-07,2,3,360,32652
City Hotel,NO,40,2016,September,0,5,1,0,0,BB,USA,Groups,TA/TO,0,0,0,A,A,2,No Deposit,86,0,Transient-Party,108,0,Check-Out,2016-09-18,1,5,540,48978
City Hotel,YES,86,2017,May,0,4,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,119,0,Canceled,2017-04-04,2,4,477,43264
City Hotel,YES,257,2017,July,4,7,2,2,0,BB,NOR,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,0,Transient,189,0,Canceled,2017-05-02,4,11,2081,188745
City Hotel,NO,41,2016,March,2,1,2,0,0,BB,POL,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,94,0,Transient-Party,86,0,Check-Out,2016-03-16,2,3,257,23311
City Hotel,NO,5,2016,May,0,1,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,0,Transient,250,1,Check-Out,2016-05-28,4,1,250,22675
City Hotel,NO,58,2016,June,1,2,3,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9,0,Transient,159,2,Check-Out,2016-06-13,3,3,476,43136
City Hotel,NO,169,2017,July,0,2,2,0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,0,Transient-Party,107,0,Check-Out,2017-07-08,2,2,214,19428
City Hotel,NO,2,2016,June,0,3,2,0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,152,0,Transient,73,2,Check-Out,2016-06-11,2,3,219,19882
City Hotel,NO,124,2016,July,2,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,0,Transient,99,1,Check-Out,2016-07-21,2,4,398,36080
City Hotel,NO,172,2017,July,2,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,0,Transient,89,2,Check-Out,2017-07-15,2,6,536,48651
City Hotel,NO,141,2016,September,0,2,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,3,No Deposit,9,0,Transient,164,1,Check-Out,2016-09-25,3,2,328,29713
City Hotel,YES,18,2016,March,0,3,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,109,0,Canceled,2016-03-11,2,3,327,29659
City Hotel,NO,20,2017,June,0,1,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,10,0,Transient,95,0,Check-Out,2017-06-09,1,1,95,8617
City Hotel,NO,8,2016,February,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,93,0,Check-Out,2016-02-26,2,4,372,33740
City Hotel,NO,58,2016,July,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,A,0,No Deposit,85,0,Transient,87,0,Check-Out,2016-07-09,2,1,87,7918
City Hotel,NO,170,2015,September,0,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,24,0,Transient-Party,97,2,Check-Out,2015-09-13,2,1,97,8789
City Hotel,NO,76,2017,April,0,4,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,0,Transient,85,0,Check-Out,2017-04-15,2,4,340,30838
City Hotel,NO,14,2016,April,0,1,1,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1,0,Transient-Party,70,1,Check-Out,2016-04-14,1,1,70,6349
City Hotel,NO,82,2017,March,1,3,1,0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,0,Transient,64,1,Check-Out,2017-03-20,1,4,257,23270
City Hotel,YES,134,2017,February,2,4,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9,0,Transient,82,1,Canceled,2016-11-21,2,6,495,44864
City Hotel,NO,141,2017,May,2,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42,0,Transient,89,1,Check-Out,2017-05-30,2,4,356,32325
City Hotel,NO,41,2017,June,0,2,4,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,0,Transient,210,0,Check-Out,2017-06-15,4,2,420,38094
City Hotel,YES,77,2016,June,1,0,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,105,1,No-Show,2016-06-26,2,1,105,9551
City Hotel,YES,0,2016,March,0,2,1,0,0,BB,PRT,Corporate,TA/TO,0,0,0,D,D,0,No Deposit,94,0,Transient-Party,75,0,Canceled,2016-03-08,1,2,150,13605
City Hotel,YES,23,2016,September,1,3,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,119,1,Canceled,2016-09-23,2,4,476,43173
City Hotel,YES,51,2017,June,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,0,Transient,240,1,Canceled,2017-05-03,2,2,480,43536
City Hotel,NO,57,2016,September,0,2,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,157,0,Transient,102,0,Check-Out,2016-09-23,2,2,203,18416
City Hotel,NO,188,2017,July,0,1,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,0,Transient,89,0,Check-Out,2017-07-08,2,1,89,8081
City Hotel,YES,43,2016,December,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,88,1,Canceled,2016-11-21,2,4,354,32072
City Hotel,NO,1,2016,January,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,94,0,Transient,80,0,Check-Out,2016-01-14,1,1,80,7256
City Hotel,NO,234,2017,June,0,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85,0,Transient,89,0,Check-Out,2017-06-11,2,3,267,24244
City Hotel,NO,215,2016,November,1,1,1,0,0,BB,DNK,Groups,Corporate,0,0,0,A,D,1,No Deposit,94,0,Transient,75,0,Check-Out,2016-11-23,1,2,150,13605
City Hotel,NO,41,2016,August,0,3,3,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient-Party,177,1,Check-Out,2016-08-27,3,3,532,48243
City Hotel,NO,118,2016,July,2,5,2,0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient-Party,108,1,Check-Out,2016-07-08,2,7,756,68537
City Hotel,NO,49,2017,April,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,126,1,Check-Out,2017-04-07,2,4,504,45713
City Hotel,NO,148,2016,June,0,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9,0,Transient-Party,101,0,Check-Out,2016-06-05,1,3,302,27428
City Hotel,YES,217,2017,April,1,1,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,110,2,Canceled,2016-10-18,2,2,220,19954
City Hotel,NO,3,2015,September,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,0,Transient,145,1,Check-Out,2015-09-25,2,3,435,39455
City Hotel,NO,29,2017,June,0,1,1,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,99,2,Check-Out,2017-06-28,1,1,99,8979
City Hotel,YES,138,2016,July,2,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,97,1,Canceled,2016-03-07,2,4,389,35311
City Hotel,NO,98,2015,November,1,2,1,0,0,BB,IRL,Groups,TA/TO,0,0,0,A,D,0,No Deposit,37,0,Transient-Party,70,0,Check-Out,2015-11-26,1,3,210,19047
City Hotel,NO,44,2016,October,0,5,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8,0,Transient,143,2,Check-Out,2016-10-23,2,5,717,65050
City Hotel,YES,36,2016,June,2,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,94,0,Canceled,2016-06-05,2,2,189,17115
City Hotel,NO,179,2017,July,0,2,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,127,1,Check-Out,2017-07-15,2,2,254,23020
City Hotel,NO,74,2016,June,1,0,2,1,0,BB,FIN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,113,0,Check-Out,2016-06-28,3,1,113,10204
City Hotel,YES,4,2016,June,0,2,3,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,0,Transient,163,0,Canceled,2016-06-07,3,2,326,29523
City Hotel,NO,1,2016,May,0,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,E,F,0,No Deposit,20,0,Transient,119,0,Check-Out,2016-05-08,2,3,357,32380
City Hotel,NO,6,2016,October,1,0,1,0,0,BB,ESP,Corporate,Corporate,0,0,0,A,A,0,No Deposit,94,0,Transient-Party,89,0,Check-Out,2016-10-04,1,1,89,8072
City Hotel,NO,109,2017,March,1,4,1,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,0,Transient,75,0,Check-Out,2017-03-11,1,5,374,33922
City Hotel,NO,1,2016,March,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,94,0,Transient,70,1,Check-Out,2016-03-05,2,1,70,6349
City Hotel,NO,134,2017,February,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,30,0,Transient-Party,75,0,Check-Out,2017-02-26,2,1,75,6803
City Hotel,YES,68,2016,May,0,3,1,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,122,0,Canceled,2016-03-03,1,3,365,33060
City Hotel,NO,0,2017,February,0,1,1,0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,0,Transient,88,0,Check-Out,2017-02-26,1,1,88,8000
City Hotel,NO,21,2015,September,1,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Contract,139,2,Check-Out,2015-09-12,2,5,696,63127
City Hotel,YES,357,2017,May,0,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,99,0,Canceled,2016-10-24,2,2,198,17959
City Hotel,YES,31,2016,June,0,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,133,0,Canceled,2016-06-10,2,1,133,12027
City Hotel,NO,1,2015,August,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,0,Contract,105,1,Check-Out,2015-08-12,2,2,210,19047
City Hotel,NO,41,2017,April,0,1,1,0,0,BB,DEU,Corporate,Corporate,0,0,0,A,A,0,No Deposit,94,0,Transient-Party,110,0,Check-Out,2017-04-27,1,1,110,9977
City Hotel,YES,2,2016,November,0,2,1,0,0,BB,PRT,Aviation,Corporate,0,0,0,D,D,0,No Deposit,94,0,Transient,94,0,Canceled,2016-11-02,1,2,188,17052
City Hotel,NO,54,2016,February,0,2,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,80,0,Check-Out,2016-02-28,2,2,161,14566
City Hotel,NO,9,2016,January,0,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,90,2,Check-Out,2016-01-28,2,1,90,8163
City Hotel,NO,124,2015,December,1,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,0,Contract,72,2,Check-Out,2016-01-01,2,4,289,26212
City Hotel,NO,59,2016,August,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,110,1,Check-Out,2016-09-03,2,3,329,29877
City Hotel,NO,35,2017,June,2,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,0,Transient,141,1,Check-Out,2017-06-16,1,6,848,76912
City Hotel,NO,2,2017,April,0,1,1,0,0,BB,ESP,Aviation,Corporate,0,0,0,D,D,0,No Deposit,153,0,Transient,110,0,Check-Out,2017-04-27,1,1,110,9977
City Hotel,NO,5,2015,October,0,1,2,2,0,BB,IRL,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,0,Transient,177,0,Check-Out,2015-11-01,4,1,177,16054
City Hotel,NO,75,2016,March,1,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,0,Transient-Party,78,0,Check-Out,2016-03-23,2,2,156,14149
City Hotel,YES,45,2016,December,1,4,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,105,2,Canceled,2016-12-24,2,5,524,47491
City Hotel,NO,15,2017,July,1,1,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,149,2,Check-Out,2017-07-17,2,2,298,27029
City Hotel,YES,94,2016,August,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,118,0,Canceled,2016-05-22,2,2,236,21387
City Hotel,NO,11,2015,September,0,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Contract,124,2,Check-Out,2015-09-06,2,2,248,22494
City Hotel,NO,171,2017,July,1,3,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,0,Transient,69,1,Check-Out,2017-07-10,2,4,274,24892
City Hotel,YES,7,2016,April,0,3,2,2,0,BB,DEU,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,0,Transient,201,1,Canceled,2016-04-15,4,3,603,54692
City Hotel,YES,65,2016,August,1,1,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,152,0,Canceled,2016-07-15,3,2,304,27591
City Hotel,NO,77,2016,October,0,1,2,1,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,94,0,Transient,135,0,Check-Out,2016-10-15,3,1,135,12254
City Hotel,YES,31,2017,March,2,3,1,0,0,BB,CN,Direct,Direct,0,0,0,D,D,0,No Deposit,14,0,Transient,113,1,Canceled,2017-02-21,1,5,565,51246
City Hotel,YES,13,2016,December,1,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,88,0,Canceled,2016-12-04,2,2,176,15963
City Hotel,YES,257,2017,August,1,4,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,89,0,Canceled,2017-07-14,2,5,446,40407
City Hotel,YES,123,2017,April,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,124,1,Canceled,2016-12-22,2,4,495,44897
City Hotel,NO,15,2017,March,0,1,1,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,F,1,No Deposit,9,0,Transient,106,0,Check-Out,2017-03-08,1,1,106,9632
City Hotel,YES,173,2017,June,1,1,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,83,0,Transient,116,0,Canceled,2016-12-26,3,2,232,21042
City Hotel,NO,0,2017,August,1,1,2,0,0,SC,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,140,2,Check-Out,2017-08-23,2,2,280,25396
City Hotel,YES,111,2016,August,1,3,3,0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,147,1,Canceled,2016-05-02,3,4,587,53223
City Hotel,NO,327,2017,May,0,2,1,0,0,BB,USA,Direct,Direct,0,0,0,A,A,2,No Deposit,14,0,Group,94,0,Check-Out,2017-05-04,1,2,187,16961
City Hotel,NO,52,2017,January,1,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,0,Transient,79,1,Check-Out,2017-01-16,2,3,237,21496
City Hotel,YES,32,2016,September,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,83,0,Transient,138,0,Canceled,2016-08-26,2,7,963,87311
City Hotel,YES,11,2016,May,2,1,1,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,138,0,Canceled,2016-04-20,1,3,413,37460
City Hotel,NO,50,2017,May,1,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,199,1,Check-Out,2017-05-26,2,4,796,72197
City Hotel,NO,55,2017,March,2,4,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,92,1,Check-Out,2017-03-18,2,6,551,49958
City Hotel,NO,130,2016,July,0,3,3,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,22,0,Transient,97,0,Check-Out,2016-07-29,3,3,291,26366
City Hotel,NO,0,2016,April,2,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85,0,Transient,81,0,Check-Out,2016-04-15,2,5,404,36620
City Hotel,YES,135,2017,April,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3,0,Transient,90,0,Canceled,2016-12-07,2,3,270,24489
City Hotel,NO,16,2016,March,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,109,1,Check-Out,2016-03-12,2,2,218,19773
City Hotel,NO,32,2017,May,2,4,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,159,0,Check-Out,2017-05-13,2,6,956,86707
City Hotel,NO,27,2015,October,2,2,2,0,0,BB,GBR,Direct,Direct,0,0,0,A,A,1,No Deposit,14,0,Transient,91,0,Check-Out,2015-10-22,2,4,365,33106
City Hotel,NO,86,2017,April,0,2,2,0,0,BB,TWN,Direct,Direct,0,0,0,A,A,0,No Deposit,14,0,Transient,99,1,Check-Out,2017-04-29,2,2,198,17959
City Hotel,NO,5,2017,February,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,103,0,Check-Out,2017-02-24,2,7,721,65376
City Hotel,NO,31,2016,May,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,140,0,Check-Out,2016-05-17,2,7,983,89140
City Hotel,NO,104,2017,May,0,4,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,0,Transient,85,2,Check-Out,2017-05-13,2,4,340,30838
City Hotel,NO,16,2015,September,2,2,2,1,0,BB,ITA,Groups,TA/TO,0,0,0,A,D,1,No Deposit,1,0,Transient-Party,185,0,Check-Out,2015-09-29,3,4,740,67118
City Hotel,NO,27,2016,September,1,3,2,0,0,BB,HUN,Direct,Direct,0,0,0,D,D,0,No Deposit,14,0,Transient,128,0,Check-Out,2016-09-30,2,4,512,46417
City Hotel,YES,105,2016,June,0,3,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,143,0,Canceled,2016-04-11,3,3,429,38938
City Hotel,NO,34,2017,February,1,0,1,0,0,BB,PRT,Corporate,Corporate,1,1,8,A,A,0,No Deposit,94,0,Transient,67,0,Check-Out,2017-02-13,1,1,67,6077
City Hotel,YES,240,2017,July,0,2,2,0,0,HB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,141,1,Canceled,2017-03-27,2,2,283,25632
City Hotel,YES,205,2017,January,0,1,2,0,0,BB,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,90,1,Canceled,2016-08-23,2,1,90,8163
City Hotel,NO,41,2017,February,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22,0,Transient,80,0,Check-Out,2017-03-03,2,3,240,21768
City Hotel,NO,6,2016,November,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,121,1,Check-Out,2016-11-17,2,1,121,10975
City Hotel,NO,108,2016,April,0,1,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,7,0,Transient,67,0,Check-Out,2016-04-29,1,1,67,6091
City Hotel,NO,2,2017,January,0,2,3,0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,156,0,Check-Out,2017-01-06,3,2,312,28298
City Hotel,NO,74,2017,June,0,2,2,0,0,HB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,208,0,Check-Out,2017-06-10,2,2,416,37731
City Hotel,NO,27,2017,January,0,3,2,0,0,SC,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,88,1,Check-Out,2017-01-07,2,3,264,23945
City Hotel,YES,116,2016,October,2,2,2,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,94,0,Canceled,2016-06-29,2,4,376,34121
City Hotel,NO,1,2016,May,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,176,1,Check-Out,2016-05-21,2,1,176,15963
City Hotel,NO,172,2016,July,2,5,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,0,Transient,73,1,Check-Out,2016-07-25,2,7,510,46246
City Hotel,NO,504,2017,August,2,1,2,0,0,BB,AUS,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,0,Transient-Party,113,1,Check-Out,2017-08-15,2,3,338,30658
City Hotel,YES,24,2015,November,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,8,0,Transient,117,0,Canceled,2015-10-21,2,3,351,31836
City Hotel,NO,76,2016,June,2,2,2,1,0,BB,EGY,Online TA,TA/TO,0,0,0,A,D,7,No Deposit,9,0,Transient,129,2,Check-Out,2016-06-21,3,4,516,46801
City Hotel,YES,145,2015,August,1,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,0,Transient-Party,90,0,Canceled,2015-08-24,2,3,270,24489
City Hotel,YES,14,2017,May,0,2,2,0,0,BB,ECU,Direct,Direct,0,0,0,D,D,0,No Deposit,14,0,Transient,165,0,Canceled,2017-05-08,2,2,330,29931
City Hotel,NO,176,2016,July,2,6,2,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,81,1,Check-Out,2016-07-13,2,8,646,58592
City Hotel,YES,67,2016,September,2,6,1,0,0,BB,TUR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,149,0,Canceled,2016-08-03,1,8,1195,108405
City Hotel,NO,66,2015,October,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21,0,Transient,75,0,Check-Out,2015-10-12,2,3,225,20408
City Hotel,YES,59,2016,April,2,1,2,0,0,BB,SVK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,105,0,Canceled,2016-04-20,2,3,316,28652
City Hotel,YES,176,2017,March,0,2,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,140,0,Canceled,2016-09-15,3,2,280,25396
City Hotel,NO,4,2017,May,0,1,1,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,0,Transient,94,0,Check-Out,2017-05-31,1,1,94,8526
City Hotel,NO,10,2017,January,2,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,77,0,Transient-Party,65,0,Check-Out,2017-01-25,1,3,195,17687
City Hotel,NO,96,2015,December,2,3,2,1,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28,0,Transient,75,1,Check-Out,2016-01-01,3,5,375,34013
City Hotel,YES,180,2017,July,2,4,3,0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,230,0,Canceled,2017-01-29,3,6,1377,124894
City Hotel,NO,201,2017,May,2,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,125,3,Check-Out,2017-05-30,2,6,751,68079
City Hotel,NO,54,2017,June,1,0,2,0,1,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,85,0,Transient,89,1,Check-Out,2017-06-05,3,1,89,8081
City Hotel,NO,0,2016,August,1,0,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,164,0,Check-Out,2016-08-30,2,1,164,14875
City Hotel,NO,80,2016,October,0,4,2,0,0,BB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,14,0,Transient,129,0,Check-Out,2016-10-23,2,4,515,46692
City Hotel,NO,70,2016,April,2,1,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,138,2,Check-Out,2016-04-12,3,3,413,37468
City Hotel,YES,129,2017,April,0,3,2,0,0,BB,IND,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9,0,Transient,134,2,Canceled,2017-02-20,2,3,401,36325
City Hotel,NO,40,2016,June,0,3,2,1,0,BB,SWE,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,0,Transient,134,2,Check-Out,2016-07-02,3,3,402,36489
City Hotel,NO,162,2017,July,0,4,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85,0,Transient,80,0,Check-Out,2017-07-15,2,4,320,29060
City Hotel,NO,1,2017,March,0,1,2,0,1,BB,PRT,Direct,Direct,1,1,3,F,F,1,No Deposit,94,0,Transient,75,2,Check-Out,2017-03-05,3,1,75,6803
