hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,148,2016,July,29,11,1,2,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,97.5,0,0,Canceled,2016-07-07
City Hotel,1,36,2017,January,1,3,0,5,1,0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,14,,0,Transient,107,0,1,Canceled,2016-12-22
City Hotel,0,19,2016,September,39,23,1,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,,0,Transient,139,0,3,Check-Out,2016-09-26
City Hotel,0,5,2015,November,47,18,0,2,1,0,0,BB,PRT,Corporate,Corporate,1,0,3,A,A,0,No Deposit,94.13830565,40,0,Transient,65,0,0,Check-Out,2015-11-20
City Hotel,1,8,2016,June,24,10,0,2,2,0,0,BB,AUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,156,0,0,Canceled,2016-06-07
City Hotel,0,232,2016,December,50,5,1,2,3,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,110.7,0,2,Check-Out,2016-12-08
City Hotel,1,14,2016,June,24,8,2,6,2,2,0,BB,AGO,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,,0,Transient,204.75,0,1,No-Show,2016-06-08
City Hotel,0,16,2016,February,8,17,0,4,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,,0,Transient,109,0,2,Check-Out,2016-02-21
City Hotel,0,268,2016,October,42,9,2,3,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,27,,0,Transient-Party,80.75,0,0,Check-Out,2016-10-14
City Hotel,0,9,2017,January,2,14,0,1,2,0,0,HB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,14,,0,Transient,160,0,2,Check-Out,2017-01-15
City Hotel,1,103,2017,April,15,14,1,2,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,181.5,0,1,Canceled,2017-02-11
City Hotel,0,99,2016,June,27,29,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,114.3,0,1,Check-Out,2016-07-02
City Hotel,0,19,2017,May,21,25,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,9,,0,Transient,190,0,1,Check-Out,2017-05-26
City Hotel,0,2,2015,December,50,11,0,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,94,1,0,Check-Out,2015-12-12
City Hotel,1,82,2017,May,22,29,1,4,2,0,0,SC,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,126,0,0,Canceled,2017-03-13
City Hotel,0,49,2016,March,13,24,1,3,2,0,0,SC,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,138,,0,Transient,62.8,0,0,Check-Out,2016-03-28
City Hotel,0,83,2016,March,13,25,1,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,105.3,0,1,Check-Out,2016-03-28
City Hotel,1,78,2016,April,15,8,0,2,2,0,0,SC,NLD,Online TA,TA/TO,0,0,0,B,B,2,No Deposit,9,,0,Transient,85.5,0,0,Canceled,2016-03-31
City Hotel,0,179,2017,July,27,6,2,3,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,147.9,0,1,Check-Out,2017-07-11
City Hotel,0,74,2016,April,17,17,2,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,121.2,1,2,Check-Out,2016-04-22
City Hotel,0,8,2017,April,17,28,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,144,0,1,Check-Out,2017-04-29
City Hotel,0,42,2016,January,4,17,2,0,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,75.95,0,1,Check-Out,2016-01-19
City Hotel,0,4,2017,January,1,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,81.62,0,1,Check-Out,2017-01-05
City Hotel,1,133,2017,July,27,7,0,2,2,0,0,HB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,141.3,0,1,Canceled,2017-03-06
City Hotel,1,151,2016,December,53,29,0,3,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,143.28,0,1,Canceled,2016-08-22
City Hotel,0,142,2016,August,35,21,2,3,0,2,0,BB,IRL,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,,0,Transient,95.79,0,1,Check-Out,2016-08-26
City Hotel,0,56,2016,March,14,30,0,4,2,0,1,BB,ESP,Direct,Direct,0,0,0,A,A,1,No Deposit,14,,0,Transient,84.65,1,1,Check-Out,2016-04-03
City Hotel,1,52,2016,March,14,28,1,3,2,0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,85.85,0,0,Canceled,2016-03-09
City Hotel,0,63,2016,November,47,17,1,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,,0,Transient,88.4,0,2,Check-Out,2016-11-21
City Hotel,0,226,2016,October,44,25,0,3,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,83,,0,Transient,102.76,0,0,Check-Out,2016-10-28
City Hotel,0,92,2016,June,25,14,2,5,2,0,0,BB,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,14,,0,Transient,120.58,0,0,Check-Out,2016-06-21
City Hotel,1,138,2017,August,34,23,0,3,3,0,0,BB,AUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,195,0,0,Canceled,2017-04-10
City Hotel,0,1,2016,January,4,22,0,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,4,A,A,0,No Deposit,94,,0,Transient,45,0,1,Check-Out,2016-01-23
City Hotel,0,38,2016,July,27,1,2,3,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,107.1,0,0,Check-Out,2016-07-06
City Hotel,0,48,2017,March,12,20,1,3,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42,,0,Transient,72,0,0,Check-Out,2017-03-24
City Hotel,0,0,2015,October,41,7,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,119,0,0,Check-Out,2015-10-09
City Hotel,0,0,2016,March,13,24,0,1,1,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,20,,0,Transient-Party,75,0,0,Check-Out,2016-03-25
City Hotel,0,4,2017,February,6,10,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,108,0,0,Check-Out,2017-02-12
City Hotel,1,34,2016,November,49,27,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,94.13830565,,0,Transient-Party,75,0,0,Canceled,2016-11-25
City Hotel,0,37,2016,September,40,28,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,,0,Transient,113.65,0,1,Check-Out,2016-09-29
City Hotel,0,33,2016,October,41,6,0,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,126,0,1,Check-Out,2016-10-07
City Hotel,1,28,2016,June,25,13,1,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,130.8,0,0,Canceled,2016-06-10
City Hotel,1,84,2017,August,31,3,4,9,2,0,1,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,94.13830565,,0,Transient-Party,112,0,3,Canceled,2017-06-26
City Hotel,0,44,2016,April,17,23,2,1,3,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,24,,0,Transient-Party,133,0,1,Check-Out,2016-04-26
City Hotel,0,177,2016,October,45,30,2,3,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83,,0,Transient,68.68,0,1,Check-Out,2016-11-04
City Hotel,0,0,2017,June,24,12,1,0,2,0,0,BB,GBR,Direct,Direct,0,0,0,F,F,0,No Deposit,14,,0,Transient,265,0,0,Check-Out,2017-06-13
City Hotel,1,238,2017,June,23,5,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9,,0,Transient,106.35,0,1,Canceled,2016-11-11
City Hotel,1,69,2015,July,29,12,2,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,76.5,0,1,Canceled,2015-07-02
City Hotel,0,3,2015,August,33,11,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,107,1,1,Check-Out,2015-08-13
City Hotel,0,189,2016,May,20,12,1,3,2,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14,,0,Transient,90.1,0,0,Check-Out,2016-05-16
City Hotel,0,48,2015,October,43,19,1,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Contract,94.5,0,1,Check-Out,2015-10-23
City Hotel,0,0,2016,May,20,11,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,K,0,No Deposit,94.13830565,,0,Transient,152,0,0,Check-Out,2016-05-12
City Hotel,0,0,2015,July,30,25,0,1,2,1,0,BB,PRT,Direct,Direct,0,0,0,D,A,0,No Deposit,94.13830565,,0,Transient,0,0,1,Check-Out,2015-07-26
City Hotel,0,30,2016,March,10,4,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,,0,Transient-Party,88.4,0,0,Check-Out,2016-03-06
City Hotel,0,5,2016,November,47,15,0,3,1,0,0,BB,PRT,Corporate,Corporate,1,0,11,A,A,0,No Deposit,94.13830565,40,0,Transient,65,0,1,Check-Out,2016-11-18
City Hotel,1,149,2016,July,29,10,2,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138,,0,Transient,72.25,0,0,Canceled,2016-02-23
City Hotel,0,170,2017,August,32,11,2,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,4,No Deposit,9,,0,Transient-Party,175.5,0,0,Check-Out,2017-08-15
City Hotel,1,21,2017,July,29,21,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,128,0,1,Canceled,2017-07-04
City Hotel,1,31,2016,March,10,5,2,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,84.9,0,0,Canceled,2016-02-12
City Hotel,0,99,2017,June,23,5,1,3,2,2,0,BB,LUX,Direct,Direct,0,0,0,G,G,1,No Deposit,14,,0,Transient,275,0,1,Check-Out,2017-06-09
City Hotel,0,48,2015,October,44,25,2,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,B,B,0,No Deposit,66,,0,Transient-Party,112.88,0,0,Check-Out,2015-10-30
City Hotel,0,23,2017,August,33,18,0,2,3,1,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,G,K,0,No Deposit,159,,0,Transient,283.23,0,0,Check-Out,2017-08-20
City Hotel,1,151,2017,June,23,4,2,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,144,0,0,Canceled,2017-01-05
City Hotel,0,9,2015,December,50,10,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,3,A,A,1,No Deposit,94.13830565,40,0,Transient-Party,65,0,0,Check-Out,2015-12-11
City Hotel,1,29,2017,April,17,29,1,1,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,115,0,2,Canceled,2017-04-07
City Hotel,0,110,2016,August,34,14,2,1,2,0,0,SC,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,,0,Transient,63.75,0,0,Check-Out,2016-08-17
City Hotel,0,24,2016,January,2,6,0,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient-Party,115.5,1,1,Check-Out,2016-01-08
City Hotel,0,189,2017,August,35,27,2,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient-Party,114,0,1,Check-Out,2017-08-29
City Hotel,1,309,2016,May,20,13,1,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,,215,Transient-Party,101,0,0,Canceled,2016-05-11
City Hotel,0,71,2016,March,12,18,1,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,96.3,0,0,Check-Out,2016-03-21
City Hotel,0,0,2017,June,26,29,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,94.13830565,,0,Transient,170,0,1,Check-Out,2017-06-30
City Hotel,0,96,2016,November,45,2,0,2,2,0,0,SC,POL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,9,,0,Transient,79.2,0,3,Check-Out,2016-11-04
City Hotel,1,19,2017,March,11,13,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,108,0,0,Canceled,2017-03-02
City Hotel,0,98,2016,July,28,3,2,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,114.3,0,2,Check-Out,2016-07-06
City Hotel,0,183,2017,May,22,28,2,0,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,,0,Transient,139.5,0,1,Check-Out,2017-05-30
City Hotel,1,253,2017,July,28,13,0,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,89.1,0,0,Canceled,2016-11-07
City Hotel,0,71,2017,June,26,29,1,3,3,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,,0,Transient,190,0,1,Check-Out,2017-07-03
City Hotel,0,3,2016,June,26,22,0,2,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,87.01,0,1,Check-Out,2016-06-24
City Hotel,1,234,2017,July,28,13,0,3,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,120.6,0,0,Canceled,2017-01-15
City Hotel,0,3,2016,July,29,11,1,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,94.13830565,40,0,Transient,65,0,0,Check-Out,2016-07-12
City Hotel,1,166,2016,November,45,1,0,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,236,,0,Transient,110,0,0,Canceled,2016-07-13
City Hotel,0,228,2017,July,28,14,0,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,107.1,0,1,Check-Out,2017-07-16
City Hotel,1,157,2016,August,32,1,1,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,1,Non Refund,94.13830565,51,0,Transient-Party,106,0,0,Canceled,2016-07-29
City Hotel,1,31,2016,April,16,14,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,109.8,0,0,Canceled,2016-03-14
City Hotel,1,129,2016,July,32,31,2,3,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,120.6,0,0,Canceled,2016-03-24
City Hotel,1,0,2017,August,32,8,0,2,1,0,0,BB,PRT,Aviation,Corporate,0,0,0,A,A,0,No Deposit,94.13830565,153,0,Transient,80,0,0,Canceled,2017-08-08
City Hotel,1,321,2017,August,35,28,1,4,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,,0,Transient,145.08,0,3,Canceled,2016-12-24
City Hotel,0,186,2017,June,26,28,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient-Party,117,0,0,Check-Out,2017-07-01
City Hotel,1,6,2016,June,25,12,1,0,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,119,0,1,Canceled,2016-06-09
City Hotel,0,0,2017,April,16,17,1,1,2,0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,94.13830565,,0,Transient,9,0,0,Check-Out,2017-04-19
City Hotel,0,12,2016,May,22,25,0,1,2,0,0,SC,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,42,,0,Transient,79.2,0,0,Check-Out,2016-05-26
City Hotel,0,13,2016,May,23,30,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,11,,0,Transient,85.32,0,0,Check-Out,2016-06-03
City Hotel,0,1,2015,September,39,21,1,0,2,0,0,SC,PRT,Direct,TA/TO,0,0,0,A,E,0,No Deposit,94.13830565,,0,Transient,114,0,2,Check-Out,2015-09-22
City Hotel,0,74,2017,April,17,23,2,2,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,144,0,2,Check-Out,2017-04-27
City Hotel,0,107,2017,April,17,28,1,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,117,0,0,Check-Out,2017-05-01
City Hotel,0,1,2017,May,20,20,2,1,1,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,1,No Deposit,94.13830565,,0,Transient,110,0,0,Check-Out,2017-05-23
City Hotel,1,36,2016,October,44,26,0,4,2,0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,129,0,1,Canceled,2016-10-12
City Hotel,1,4,2016,September,40,30,0,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,4,No Deposit,94.13830565,321,0,Transient-Party,110,0,0,Canceled,2016-09-28
City Hotel,0,140,2017,June,26,28,0,3,2,3,0,BB,NOR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9,,0,Transient,220,0,0,Check-Out,2017-07-01
City Hotel,0,0,2016,February,6,3,0,1,1,0,0,BB,PRT,Complementary,Corporate,1,0,16,D,D,0,No Deposit,94.13830565,45,0,Transient,0,0,2,Check-Out,2016-02-04
City Hotel,0,80,2016,November,47,15,0,4,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,88.4,0,1,Check-Out,2016-11-19
City Hotel,1,27,2017,May,21,21,2,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,160,0,1,Canceled,2017-05-01
City Hotel,0,4,2016,March,13,23,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,17,,0,Transient,72,0,1,Check-Out,2016-03-24
City Hotel,1,24,2015,October,44,29,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,9,,0,Contract,126,0,0,Canceled,2015-10-28
City Hotel,0,0,2015,October,43,20,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,,0,Transient,154,0,0,Check-Out,2015-10-21
City Hotel,0,2,2016,May,23,29,0,0,2,0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,0,1,Check-Out,2016-05-29
City Hotel,1,315,2017,July,28,15,1,1,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,107.1,0,0,Canceled,2016-09-03
City Hotel,0,123,2016,May,19,4,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,105.3,0,0,Check-Out,2016-05-07
City Hotel,1,62,2017,January,2,12,2,3,2,0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,88.4,0,0,Canceled,2016-11-12
City Hotel,1,166,2015,August,31,1,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,2,Canceled,2015-05-20
City Hotel,1,77,2017,May,18,5,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,,0,Transient,162,0,0,Canceled,2017-04-20
City Hotel,1,21,2016,August,35,22,1,3,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,,0,Transient,231,0,0,Canceled,2016-08-02
City Hotel,0,128,2017,May,21,26,0,2,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient-Party,121.5,0,1,Check-Out,2017-05-28
City Hotel,0,33,2017,May,18,3,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,94.13830565,,0,Transient,100,0,2,Check-Out,2017-05-05
City Hotel,0,12,2016,August,34,16,0,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,0,1,Check-Out,2016-08-16
City Hotel,0,127,2017,May,20,19,0,2,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,126,0,1,Check-Out,2017-05-21
City Hotel,0,23,2017,May,21,25,0,3,1,0,0,BB,PRT,Complementary,Direct,1,0,3,A,A,1,No Deposit,94.13830565,,0,Transient,0,0,2,Check-Out,2017-05-28
City Hotel,1,23,2016,May,21,21,2,4,0,2,0,BB,IND,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,,0,Transient,128.49,0,0,Canceled,2016-05-05
City Hotel,0,123,2016,August,32,4,2,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,A,A,1,No Deposit,14,,0,Transient,103.42,0,1,Check-Out,2016-08-10
City Hotel,0,50,2016,April,14,1,0,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,90.9,0,0,Check-Out,2016-04-02
City Hotel,0,50,2016,October,41,5,0,2,2,1,0,BB,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,144,1,2,Check-Out,2016-10-07
City Hotel,0,177,2017,June,25,24,2,1,3,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,4,No Deposit,9,,0,Transient,166.5,0,5,Check-Out,2017-06-27
City Hotel,0,156,2017,July,29,17,1,3,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14,,0,Transient,89.1,0,1,Check-Out,2017-07-21
City Hotel,0,267,2016,October,44,25,0,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27,,0,Transient,80.75,0,0,Check-Out,2016-10-27
City Hotel,0,37,2015,December,52,24,0,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9,,0,Contract,69.53,0,1,Check-Out,2015-12-25
City Hotel,1,174,2017,August,32,8,0,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,52,,0,Transient,75.6,0,0,Canceled,2017-03-17
City Hotel,0,59,2015,October,44,29,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Contract,72.25,0,2,Check-Out,2015-11-01
City Hotel,0,45,2015,September,36,3,0,2,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,94.5,0,1,Check-Out,2015-09-05
City Hotel,0,57,2016,October,43,17,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9,,0,Transient,128,0,1,Check-Out,2016-10-21
City Hotel,0,103,2016,July,29,12,1,5,2,0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,114.3,1,1,Check-Out,2016-07-18
City Hotel,0,60,2015,December,52,23,0,4,3,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,7,,0,Group,96.98,0,2,Check-Out,2015-12-27
City Hotel,0,198,2017,June,22,2,2,2,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,157.5,0,2,Check-Out,2017-06-06
City Hotel,1,102,2017,June,26,30,1,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,,0,Transient,112,0,1,Canceled,2017-04-16
City Hotel,0,46,2016,August,36,28,2,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,81.31,0,0,Check-Out,2016-09-03
City Hotel,1,109,2017,April,17,26,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,120.86,0,0,Canceled,2017-04-24
City Hotel,1,18,2017,February,6,11,2,2,2,2,0,BB,CHE,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9,,0,Transient,198,0,0,Canceled,2017-01-27
City Hotel,0,13,2016,September,38,12,1,0,2,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,2,No Deposit,14,,0,Transient,95.38,0,1,Check-Out,2016-09-13
City Hotel,1,21,2016,February,9,27,2,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,112.67,0,0,Canceled,2016-02-16
City Hotel,0,12,2015,August,32,5,0,3,2,0,0,BB,RUS,Corporate,Corporate,0,0,0,A,D,0,No Deposit,94.13830565,38,0,Transient-Party,65,0,0,Check-Out,2015-08-08
City Hotel,0,84,2017,April,16,16,2,2,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,171,0,1,Check-Out,2017-04-20
City Hotel,0,35,2016,March,13,21,1,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,112.5,0,1,Check-Out,2016-03-24
City Hotel,0,93,2017,April,17,24,1,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,123.75,0,0,Check-Out,2017-04-28
City Hotel,0,43,2016,November,45,3,0,1,2,0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,108,0,2,Check-Out,2016-11-04
City Hotel,0,44,2015,August,34,22,2,1,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,86,0,0,Check-Out,2015-08-25
City Hotel,0,1,2016,January,3,13,0,4,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9,,0,Transient-Party,180,1,1,Check-Out,2016-01-17
